Eastern Europe,1.38,1.0,0.86,0.76,0.54,0.15,0.1,0.09,0.11,0.1,0.1,0.06,0.53,0.45,0.13,0.3,0.21,0.18,0.2,0.16,7.55,6.25,5.23,4.13,3.08,1.94,1.05,0.95,0.94,0.78,0.76,0.67,1.25,1.27,0.61,0.84,0.67,0.6,0.66,0.6,49717.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22622.15,23194.15,23539.16,23675.97,23553.94,23894.59,24661.11,25582.66,26395.54,25655.42,27004.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,291464.16,30.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14916.35,3.0,2.6,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe,0.78,0.64,0.54,0.53,0.39,0.21,0.21,0.26,0.29,0.33,0.36,0.31,0.53,0.5,0.41,0.43,0.33,0.32,0.34,0.32,3.57,3.02,2.56,2.11,1.59,1.09,0.74,0.76,0.82,0.78,0.88,0.78,1.11,1.03,0.87,0.85,0.69,0.64,0.7,0.66,144326.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.16,23.7,23.57,23.43,23.23,23.0,22.84,22.64,22.43,22.06,21.68,21.3,20.93,25.77,25.43,19.9,19.57,19.26,18.96,23.69,23.58,8.81,8.72,8.63,8.53,8.2,7.78,7.47,7.16,6.86,6.56,6.28,6.0,5.74,5.5,5.41,5.39,5.36,5.33,5.3,5.27,5.27,,,,,,,35065.02,35117.4,35258.57,35678.3,36101.69,36664.8,37592.27,38407.78,39120.23,36905.82,38932.23,,1.04,1.0,1.0,1.0,1.0,0.99,0.98,0.97,0.96,0.95,0.94,0.93,0.92,0.91,0.9,0.9,0.9,0.89,0.89,0.89,0.89,0.37,0.37,0.37,0.37,0.41,0.41,0.44,0.47,0.5,0.53,0.55,0.58,0.61,0.61,0.64,0.63,0.62,0.61,0.6,0.6,0.59,,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,745173.77,25.12,64.94,70.23,70.5,70.77,71.11,71.49,71.82,72.18,72.55,73.08,73.61,74.15,74.66,69.97,70.45,76.12,76.58,77.02,77.42,72.79,72.98,89.39,89.5,89.63,89.78,90.11,90.63,90.95,91.27,91.58,91.88,92.19,92.48,92.77,93.03,93.13,93.21,93.28,93.36,93.43,93.5,93.54,0.19,0.19,0.19,0.19,0.19,0.16,0.16,0.16,0.04,0.04,0.03,0.04,0.04,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,36504.94,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,4.83,5.05,4.91,4.78,4.64,4.51,4.36,4.2,4.05,3.91,3.76,3.62,3.48,3.35,3.21,3.08,2.94,2.83,2.73,2.63,2.55,1.24,1.22,1.18,1.13,1.09,1.01,0.98,0.94,1.02,0.99,0.94,0.9,0.86,0.82,0.77,0.73,0.69,0.65,0.62,0.59,0.56
Global,25.92,24.89,23.11,21.15,20.74,19.52,18.84,18.02,16.37,14.25,13.22,11.68,11.0,10.48,10.03,9.62,9.28,9.09,9.64,9.0,47.7,46.8,44.93,42.72,41.8,40.12,39.14,38.0,35.91,33.55,32.0,29.63,28.34,27.16,26.06,24.92,24.08,23.66,24.64,23.36,761272.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.08,27.36,27.93,27.98,27.85,27.95,27.87,27.75,27.6,27.42,27.19,26.92,26.64,26.35,26.04,25.71,25.36,24.99,24.62,24.25,24.36,19.96,20.03,20.0,20.19,20.37,20.54,20.71,20.88,21.06,20.74,20.44,19.96,19.5,19.01,18.52,18.02,17.53,17.04,16.55,16.1,15.84,14.4,65.77,66.31,66.75,66.85,67.08,14302.55,14554.45,14842.13,15154.11,15476.83,15782.06,16183.74,16589.76,16886.76,16173.32,17060.34,0.47,5.62,5.8,5.98,6.14,6.3,6.42,6.56,6.67,6.77,6.86,6.95,7.03,7.1,7.16,7.22,7.27,7.31,7.35,7.39,7.42,7.44,2.5,2.54,2.59,2.64,2.7,2.76,2.81,2.87,2.93,2.99,3.05,3.14,3.2,3.26,3.31,3.37,3.42,3.47,3.53,3.58,3.62,3.96,21.45,20.76,20.02,19.28,18.52,17.76,16.98,16.2,15.42,14.64,13.85,13.14,12.36,11.57,10.79,10.01,9.23,8.54,7.79,7.05,6.34,1.76,7909295.15,43.83,28.64,29.14,29.75,30.85,32.14,33.26,34.51,35.83,37.17,38.54,39.95,41.31,42.75,44.2,45.67,47.14,48.63,50.12,51.59,53.02,53.95,61.73,61.99,62.54,62.83,63.12,63.4,63.69,63.98,64.26,65.01,65.76,66.6,67.48,68.39,69.3,70.2,71.09,71.98,72.85,73.66,74.27,4.05,3.97,3.87,3.76,3.66,3.52,3.37,3.24,3.09,2.95,2.81,2.7,2.57,2.43,2.3,2.16,2.03,1.9,1.77,1.65,1.56,671477.3,13.4,13.4,13.4,13.0,12.5,11.7,11.0,10.5,10.0,9.6,9.3,9.1,8.9,8.8,8.8,8.8,8.8,8.8,17.2,16.94,16.33,15.75,15.19,14.6,14.08,13.55,13.04,12.54,12.06,11.6,11.15,10.71,10.28,9.87,9.47,9.0,8.62,8.26,7.91,11.76,11.46,11.0,10.58,10.16,9.79,9.41,9.03,8.67,8.3,7.94,7.59,7.25,6.91,6.57,6.25,5.93,5.61,5.31,5.01,4.71
Latin America and the Caribbean,11.94,11.39,10.32,9.75,7.93,7.43,6.97,6.6,5.99,5.52,4.6,4.12,3.84,3.77,3.92,3.99,4.04,4.51,5.33,5.25,24.77,24.06,22.29,20.69,17.76,16.54,15.58,14.86,13.56,12.5,11.58,10.7,10.21,9.89,9.89,9.8,9.95,10.7,12.26,11.84,58991.33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58.96,59.33,59.67,59.66,59.59,60.15,60.07,59.98,59.87,59.74,59.59,59.42,59.09,58.74,58.36,57.94,57.5,56.81,56.2,55.58,54.97,18.81,18.9,19.02,19.13,19.24,19.35,19.45,19.56,19.64,19.69,19.75,19.8,20.06,20.32,20.57,20.82,21.05,21.31,21.53,21.74,21.96,,,,,,,15369.18,15602.44,15887.64,15966.8,15911.58,15757.46,15908.27,16019.35,15947.47,14717.38,15583.86,,5.22,5.19,5.17,5.16,5.14,4.92,4.89,4.85,4.81,4.77,4.72,4.67,4.63,4.58,4.53,4.48,4.43,4.37,4.33,4.27,4.22,0.88,0.85,0.81,0.78,0.75,0.72,0.68,0.65,0.62,0.62,0.61,0.61,0.61,0.6,0.59,0.59,0.58,0.53,0.54,0.52,0.44,,9.63,9.14,8.68,8.21,7.76,7.4,6.84,6.42,6.0,5.58,5.17,4.77,4.37,3.98,3.6,3.24,2.86,2.49,2.16,1.81,1.51,,656098.1,18.82,15.18,15.61,16.03,16.8,17.62,18.38,19.2,20.05,20.9,21.77,22.65,23.54,24.6,25.67,26.76,27.87,29.0,30.3,31.54,32.8,34.07,71.74,72.06,72.37,72.66,72.95,73.23,73.52,73.8,74.09,74.38,74.66,74.94,75.0,75.06,75.12,75.18,75.23,75.3,75.34,75.35,75.38,2.65,2.56,2.5,2.41,2.31,2.22,2.13,2.04,1.96,1.87,1.78,1.7,1.61,1.52,1.41,1.27,1.16,1.1,1.02,0.93,0.85,49739.68,10.8,10.3,9.9,9.3,8.7,8.1,7.5,7.3,7.0,6.7,6.4,6.1,5.9,5.9,6.2,6.6,6.9,7.2,11.01,10.73,10.45,10.17,9.89,9.15,8.99,8.71,8.42,8.15,7.87,7.59,7.31,7.04,6.77,6.48,6.22,6.03,5.78,5.54,5.23,5.93,5.63,5.3,5.02,4.75,4.48,4.21,3.95,3.7,3.45,3.2,2.96,2.72,2.51,2.3,2.15,1.98,1.75,1.58,1.46,1.37
Melanesia,48.23,47.32,46.08,44.04,41.51,38.55,38.67,36.18,32.82,32.75,32.06,31.35,27.31,26.09,24.58,24.18,24.79,23.58,24.88,24.04,70.07,69.56,68.62,67.03,65.39,63.32,63.57,61.92,58.5,58.79,57.58,56.7,51.68,50.06,48.7,48.08,48.78,47.08,49.44,47.9,428.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3791.73,3763.95,3833.52,4156.67,4305.77,4412.47,4493.93,4440.88,4483.78,4112.0,4047.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12188.83,80.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1463.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,10.33,9.73,10.62,10.32,10.72,11.05,12.93,11.22,12.88,13.06,13.25,14.05,14.35,13.09,12.72,12.58,12.51,12.47,12.63,12.36,28.68,28.26,30.73,29.09,30.31,30.94,35.39,31.47,35.17,35.28,35.71,36.67,37.99,34.48,33.43,33.55,33.21,32.73,33.18,33.48,39.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3416.53,3424.86,3464.64,3493.5,3649.53,3638.34,3606.37,3683.73,3710.09,3561.95,3361.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,534.61,30.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Middle Africa,68.62,68.86,67.3,66.24,65.78,64.15,62.67,63.18,60.93,59.36,57.07,55.74,54.25,53.91,54.9,55.68,55.99,56.14,56.78,55.73,82.3,82.63,81.46,80.77,80.74,79.92,79.09,79.68,78.3,77.58,75.77,74.84,73.47,73.42,74.39,75.1,75.46,75.66,76.22,75.52,5261.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3174.94,3318.26,3345.02,3425.52,3384.25,3238.78,3158.2,3079.01,3027.43,2859.61,2828.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,190267.97,49.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33643.15,40.1,38.7,38.0,36.8,35.7,34.3,33.3,32.2,31.3,30.2,29.5,28.9,28.1,27.9,27.9,28.6,28.9,29.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North America,0.7,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.95,1.15,1.15,0.92,1.15,0.92,0.92,0.92,0.92,0.94,1.16,1.15,1.15,1.15,1.15,1.15,0.93,1.15,1.15,1.15,1.17,1.4,1.17,1.17,1.4,1.17,1.17,1.17,1.17,63293.23,,,,,,,,,,,,,,,,,,,,,,99.36,99.36,99.36,99.36,99.37,,,,,,,,,,,,,,,,,25.08,24.92,24.77,24.58,24.39,24.22,24.05,23.87,23.7,23.53,23.05,22.56,22.08,21.6,21.11,20.68,20.25,19.82,19.39,18.96,18.56,,,,,,3.62,3.62,3.61,3.61,3.61,3.51,3.42,3.32,3.23,3.13,3.03,2.94,2.84,2.75,2.65,2.56,,,,,,,54030.06,54830.19,55461.06,56334.07,57341.37,57833.91,58768.4,60106.12,61120.18,58445.46,61513.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,375278.95,17.44,74.8,74.96,75.11,75.3,75.49,75.65,75.82,75.99,76.15,76.32,76.78,77.24,77.7,78.16,78.62,79.03,79.44,79.85,80.26,80.66,81.06,,,,,,95.27,95.28,95.29,95.3,95.31,95.49,95.67,95.86,96.04,96.21,96.39,96.57,96.74,96.92,97.09,97.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21072.87,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.17,0.2,0.22,0.24,0.26,0.29,0.31,0.33,0.35,0.37,0.39,0.64,0.64,0.64,0.64,0.63,1.11,1.1,1.1,1.09,1.08,1.0,0.91,0.82,0.74,0.66,0.57,0.49,0.41,0.34,0.26,0.18
Northern Africa,8.18,7.86,7.93,7.44,7.52,6.76,6.28,5.64,5.62,4.06,2.94,2.92,3.11,3.09,3.35,3.25,4.73,5.21,4.71,5.08,31.62,31.39,31.62,30.58,28.61,26.91,25.33,23.0,21.99,20.45,17.54,17.44,17.49,17.5,18.76,19.24,21.5,22.41,23.06,21.19,13699.44,73.97,74.26,74.63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.33,55.96,55.73,55.5,55.29,55.08,54.87,54.65,54.43,54.18,53.93,53.67,53.41,53.15,52.65,52.17,51.67,51.31,14.37,14.35,13.98,13.61,13.25,12.78,12.32,11.86,11.41,10.96,10.51,10.59,10.71,10.82,10.95,11.07,11.2,11.43,11.65,11.86,12.07,,,,,,,9421.84,9646.77,9444.67,9268.96,9394.83,9502.21,9587.73,9754.69,9921.13,9481.26,9906.45,,6.88,6.81,6.65,6.48,6.32,6.21,6.1,5.97,5.84,5.71,5.58,5.44,5.36,5.28,5.19,5.1,5.02,4.9,4.78,4.66,4.55,5.46,5.51,5.53,5.55,5.57,5.68,5.8,5.91,6.01,6.12,6.22,6.33,6.41,6.49,6.57,6.65,6.72,6.68,6.66,6.64,6.62,,14.64,14.36,14.1,13.84,13.58,12.9,12.21,11.52,10.66,9.99,9.32,8.65,7.92,7.27,6.62,5.98,5.34,5.11,4.91,4.72,4.56,,255737.74,47.54,,,,18.66,19.4,20.15,20.92,21.68,22.45,23.22,24.0,24.79,25.56,26.33,27.1,27.88,28.65,29.43,30.18,30.94,31.56,66.47,66.8,67.5,68.18,68.87,69.9,70.93,71.97,73.0,74.03,75.05,75.53,76.01,76.48,76.94,77.39,77.8,77.9,77.98,78.04,78.09,1.96,1.95,1.94,1.92,1.91,1.92,1.92,1.92,1.92,1.92,1.93,1.93,1.93,1.93,1.93,1.93,1.93,1.92,1.9,1.88,1.87,29304.75,9.6,9.4,9.6,9.8,9.7,9.3,9.0,8.9,8.8,8.8,8.4,8.1,7.2,6.7,6.2,6.4,6.4,6.5,4.51,4.57,4.63,4.69,4.74,5.0,5.27,5.54,5.97,6.21,6.45,6.68,6.98,7.2,7.42,7.63,7.84,7.91,7.96,8.0,8.02,11.74,11.39,11.05,10.73,10.41,9.72,9.03,8.34,7.66,6.98,6.3,5.62,4.95,4.28,3.62,2.96,2.35,2.07,1.81,1.58,1.35
Northern America,0.7,0.92,0.93,0.93,0.93,0.93,0.93,0.93,0.93,0.92,0.92,0.95,1.15,1.15,0.92,1.15,0.92,0.92,0.92,0.92,0.94,1.16,1.15,1.15,1.15,1.15,1.15,0.93,1.15,1.15,1.15,1.17,1.4,1.17,1.17,1.4,1.17,1.17,1.17,1.17,63293.23,,,,,,,,,,,,,,,,,,,,,,99.36,99.36,99.36,99.36,99.37,,,,,,,,,,,,,,,,,25.08,24.92,24.77,24.58,24.39,24.22,24.05,23.87,23.7,23.53,23.05,22.56,22.08,21.6,21.11,20.68,20.25,19.82,19.39,18.96,18.56,,,,,,3.62,3.62,3.61,3.61,3.61,3.51,3.42,3.32,3.23,3.13,3.03,2.94,2.84,2.75,2.65,2.56,,,,,,,54030.06,54830.19,55461.06,56334.07,57341.37,57833.91,58768.4,60106.12,61120.18,58445.46,61513.73,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,375278.95,17.44,74.8,74.96,75.11,75.3,75.49,75.65,75.82,75.99,76.15,76.32,76.78,77.24,77.7,78.16,78.62,79.03,79.44,79.85,80.26,80.66,81.06,,,,,,95.27,95.28,95.29,95.3,95.31,95.49,95.67,95.86,96.04,96.21,96.39,96.57,96.74,96.92,97.09,97.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21072.87,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,0.12,0.12,0.12,0.12,0.12,0.13,0.13,0.14,0.14,0.15,0.17,0.2,0.22,0.24,0.26,0.29,0.31,0.33,0.35,0.37,0.39,0.64,0.64,0.64,0.64,0.63,1.11,1.1,1.1,1.09,1.08,1.0,0.91,0.82,0.74,0.66,0.57,0.49,0.41,0.34,0.26,0.18
Northern Europe,0.26,0.41,0.32,0.58,0.29,0.27,0.28,0.29,0.27,0.37,0.23,0.27,0.26,0.21,0.25,0.29,0.33,0.33,0.34,0.34,0.7,0.61,0.63,0.91,0.5,0.51,0.52,0.48,0.52,0.56,0.38,0.41,0.42,0.41,0.41,0.45,0.48,0.48,0.5,0.49,20363.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.11,5.02,4.92,4.82,4.71,4.6,4.48,4.4,4.27,4.14,4.0,3.82,3.64,3.47,3.31,3.16,2.96,2.84,2.81,2.79,2.77,1.79,1.75,1.71,1.68,1.55,1.43,1.3,1.18,1.07,0.96,0.85,0.75,0.64,0.54,0.45,0.4,0.4,0.39,0.38,0.38,0.37,,,,,,,44197.12,44445.7,44880.35,45877.34,47347.45,48043.99,49118.43,49948.18,50668.36,47568.34,50593.9,,0.98,0.99,0.99,1.0,1.01,1.03,1.04,1.05,1.05,1.06,1.07,1.08,1.08,1.09,1.09,1.09,1.1,1.1,1.1,1.11,1.11,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,106197.36,17.36,92.77,92.89,93.03,93.17,93.31,93.46,93.61,93.72,93.89,94.06,94.23,94.45,94.66,94.87,95.06,95.25,95.49,95.63,95.68,95.71,95.73,97.59,97.66,97.72,97.78,97.92,98.07,98.22,98.37,98.51,98.64,98.77,98.89,99.02,99.14,99.26,99.32,99.34,99.37,99.4,99.41,99.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5727.08,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,1.14,1.1,1.06,1.01,0.97,0.92,0.87,0.83,0.79,0.74,0.7,0.66,0.61,0.57,0.53,0.5,0.46,0.42,0.4,0.4,0.39,0.6,0.58,0.55,0.53,0.51,0.48,0.46,0.43,0.41,0.39,0.37,0.35,0.32,0.3,0.28,0.26,0.24,0.23,0.2,0.2,0.2
