iso3,country,disaggregation,disagg.value,region,subregion,section,adult_fem_diabetes_track,adult_fem_obesity_track,adult_mal_diabetes_track,adult_mal_obesity_track,anaemia_track,ebf_track,lbw_track,rbp_female_track,rbp_male_track,sodium_track,under_5_overweight_track,under_5_stunting_track,under_5_wasting_track
AFG,Afghanistan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,On course,Some progress,Some progress
AGO,Angola,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,Off course,No progress or worsening,On course
ALB,Albania,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,On course,Off course,Off course,Off course,On course,On course,On course
AND,Andorra,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,No data,No data,No data,No data
ARE,United Arab Emirates,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
ARG,Argentina,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,On course,Off course,Off course,On course,No progress or worsening,On course
ARM,Armenia,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
ATG,Antigua and Barbuda,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
AUS,Australia,all,,Oceania,Australia and New Zealand,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,Off course,On course,No data
AUT,Austria,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,On course,Off course,No data,No data,No data
AZE,Azerbaijan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
BDI,Burundi,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,No progress or worsening,On course
BEL,Belgium,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,Off course,On course,No data
BEN,Benin,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
BFA,Burkina Faso,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
BGD,Bangladesh,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
BGR,Bulgaria,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,Some progress,No data
BHR,Bahrain,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,Off course,Some progress,No data
BHS,Bahamas,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,No data,No data,No data
BIH,Bosnia and Herzegovina,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,On course,Off course,Off course,Off course,On course,No progress or worsening,No data
BLR,Belarus,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,On course,Off course,Off course,On course,On course,No data
BLZ,Belize,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
BOL,Bolivia (Plurinational State of),all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
BRA,Brazil,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,On course,Off course,Off course,On course,No progress or worsening,No data
BRB,Barbados,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,Some progress,No data
BRN,Brunei Darussalam,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,On course,Off course,Off course,Off course,On course,On course,No data
BTN,Bhutan,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,On course,On course,No data
BWA,Botswana,all,,Africa,Southern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,On course,Some progress,No data
CAF,Central African Republic,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,Some progress,Off course,Off course,Off course,On course,No progress or worsening,Some progress
CAN,Canada,all,,North America,Northern America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,On course,No data,No data
CHE,Switzerland,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
CHL,Chile,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,On course,On course,On course
CHN,China,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,Off course,On course,On course
CIV,Côte d’Ivoire,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,On course,Some progress
CMR,Cameroon,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,On course
COD,Democratic Republic of the Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,On course,Some progress,Some progress
COG,Congo,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,On course,Some progress,No progress or worsening
COL,Colombia,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
COM,Comoros,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,Off course,Off course,Off course,On course,Some progress,No data
CPV,Cabo Verde,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No data,Off course,Off course,Off course,No data,Some progress,No data
CRI,Costa Rica,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,On course
CUB,Cuba,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,No data
CYP,Cyprus,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,On course,Off course,Off course,No data,No data,No data
CZE,Czechia,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,On course,No data
DEU,Germany,all,,Europe,Western Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,On course,Off course,On course,On course,No data
DJI,Djibouti,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,No progress or worsening,No data
DMA,Dominica,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,No data,No data,No data
DNK,Denmark,all,,Europe,Northern Europe,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
DOM,Dominican Republic,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
DZA,Algeria,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,Some progress,On course
ECU,Ecuador,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,Off course,No progress or worsening,On course
EGY,Egypt,all,,Africa,Northern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No data,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening
ERI,Eritrea,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,Off course,No progress or worsening,No data
ESP,Spain,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
EST,Estonia,all,,Europe,Northern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,On course,Off course,Off course,Off course,On course,On course,No data
ETH,Ethiopia,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,No data,Off course,Off course,Off course,On course,Some progress,Some progress
FIN,Finland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,On course,On course,On course,Off course,No data,No data,No data
FJI,Fiji,all,,Oceania,Melanesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,On course,Some progress,No data
FRA,France,all,,Europe,Western Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
FSM,Micronesia (Federated States of),all,,Oceania,Micronesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,No data,No data,No data
GAB,Gabon,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,No data
GBR,United Kingdom of Great Britain and Northern Ireland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
GEO,Georgia,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,On course
GHA,Ghana,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,Some progress,Off course,Off course,Off course,Off course,On course,Some progress
GIN,Guinea,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,No data,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
GMB,Gambia,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
GNB,Guinea-Bissau,all,,Africa,Western Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,On course,Some progress,Off course,Off course,Off course,Off course,Some progress,No progress or worsening
GNQ,Equatorial Guinea,all,,Africa,Middle Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No data,No data,Off course,Off course,Off course,On course,Some progress,No data
GRC,Greece,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,On course,On course,No data
GRD,Grenada,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,Off course,No data,No data,No data
GTM,Guatemala,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,On course,Some progress,Some progress,Off course,Off course,Off course,On course,Some progress,On course
GUY,Guyana,all,,Latin America and the Caribbean,South America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,No progress or worsening,No progress or worsening,Off course,Off course,Off course,On course,On course,No progress or worsening
HND,Honduras,all,,Latin America and the Caribbean,Central America,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,Off course,Some progress,No data
HRV,Croatia,all,,Europe,Southern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
HTI,Haiti,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No data,Off course,Off course,Off course,On course,Some progress,On course
HUN,Hungary,all,,Europe,Eastern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,No data,No data,No data
IDN,Indonesia,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,Off course,Some progress,Some progress
IND,India,all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,No data,Off course,Off course,Off course,On course,On course,No progress or worsening
IRL,Ireland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
IRN,Iran (Islamic Republic of),all,,Asia,Southern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,On course,Off course,Off course,On course,No progress or worsening,No data
IRQ,Iraq,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,Some progress,Some progress,No data,Off course,Off course,Off course,On course,On course,On course
ISL,Iceland,all,,Europe,Northern Europe,The burden of malnutrition at a glance,On course,Off course,On course,Off course,No progress or worsening,No data,On course,On course,Off course,Off course,No data,No data,No data
ISR,Israel,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,Some progress,On course,On course,Off course,No data,No data,No data
ITA,Italy,all,,Europe,Southern Europe,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,No data,No data,No data
JAM,Jamaica,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,Off course,Off course,Off course,On course,No progress or worsening,On course
JOR,Jordan,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No progress or worsening,On course,Off course,Off course,Off course,Some progress,No data
JPN,Japan,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,On course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,Off course,On course,No data
KAZ,Kazakhstan,all,,Asia,Central Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,Some progress,On course,Off course,Off course,Off course,On course,On course,On course
KEN,Kenya,all,,Africa,Eastern Africa,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,On course,Some progress,Off course,Off course,Off course,On course,On course,On course
KGZ,Kyrgyzstan,all,,Asia,Central Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,Some progress,Off course,Off course,Off course,On course,On course,On course
KHM,Cambodia,all,,Asia,South-eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,Some progress,Off course,Off course,Off course,On course,Some progress,No progress or worsening
KIR,Kiribati,all,,Oceania,Micronesia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No progress or worsening,No data,Off course,Off course,Off course,On course,Some progress,No data
KNA,Saint Kitts and Nevis,all,,Latin America and the Caribbean,Caribbean,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No data,Off course,Off course,No data,No data,No data,No data
KOR,Republic of Korea,all,,Asia,Eastern Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,On course,Off course,Off course,On course,No data
KWT,Kuwait,all,,Asia,Western Asia,The burden of malnutrition at a glance,Off course,Off course,Off course,Off course,No progress or worsening,No data,No progress or worsening,On course,Off course,Off course,On course,No progress or worsening,On course
