region,disaggregation,disagg.value,section,BN_ODA_donated_2011,BN_ODA_donated_2012,BN_ODA_donated_2013,BN_ODA_donated_2014,BN_ODA_donated_2015,BN_ODA_donated_2016,BN_ODA_donated_2017,BN_ODA_donated_2018,BN_ODA_donated_2019,BN_ODA_donated_2020,BN_ODA_donated_percent_2011,BN_ODA_donated_percent_2012,BN_ODA_donated_percent_2013,BN_ODA_donated_percent_2014,BN_ODA_donated_percent_2015,BN_ODA_donated_percent_2016,BN_ODA_donated_percent_2017,BN_ODA_donated_percent_2018,BN_ODA_donated_percent_2019,BN_ODA_donated_percent_2020,BN_ODA_received_2011,BN_ODA_received_2012,BN_ODA_received_2013,BN_ODA_received_2014,BN_ODA_received_2015,BN_ODA_received_2016,BN_ODA_received_2017,BN_ODA_received_2018,BN_ODA_received_2019,BN_ODA_received_2020,BN_ODA_received_percent_2011,BN_ODA_received_percent_2012,BN_ODA_received_percent_2013,BN_ODA_received_percent_2014,BN_ODA_received_percent_2015,BN_ODA_received_percent_2016,BN_ODA_received_percent_2017,BN_ODA_received_percent_2018,BN_ODA_received_percent_2019,BN_ODA_received_percent_2020,Total_ODA_donated_2011,Total_ODA_donated_2012,Total_ODA_donated_2013,Total_ODA_donated_2014,Total_ODA_donated_2015,Total_ODA_donated_2016,Total_ODA_donated_2017,Total_ODA_donated_2018,Total_ODA_donated_2019,Total_ODA_donated_2020,Total_ODA_received_2011,Total_ODA_received_2012,Total_ODA_received_2013,Total_ODA_received_2014,Total_ODA_received_2015,Total_ODA_received_2016,Total_ODA_received_2017,Total_ODA_received_2018,Total_ODA_received_2019,Total_ODA_received_2020
Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,237.02,368.45,536.91,560.94,472.89,585.62,597.62,597.46,500.54,491.75,0.44,0.68,0.9,1,0.79,0.97,0.93,0.95,0.75,0.61,,,,,,,,,,,54379.24,54219.9,59512.35,56309.21,59853.61,60618.72,63997.99,62747.89,66369.64,81224.61
Asia,all,,Nutrition strategies and financing,1.55,35.35,106.52,61.32,11.6,8.79,14.23,16.34,55.34,21.12,0.01,0.25,0.41,0.31,0.05,0.03,0.04,0.05,0.17,0.07,126.93,152.3,231.13,245.19,280.96,236.49,342.3,228.04,317.63,201.91,0.29,0.37,0.44,0.5,0.52,0.4,0.53,0.34,0.49,0.29,14669.62,13900.59,25941.57,19806.64,25042.69,28453.31,32198.44,35100.93,31683.37,32284.44,43376.43,41451.81,52124.24,49250.18,54327.68,58813.19,64756.97,66791.76,64326.02,69753.1
Australia and New Zealand,all,,Nutrition strategies and financing,10.64,9.55,7.69,8.2,6.26,4.59,0.98,12.74,4.32,3.44,0.31,0.25,0.21,0.25,0.2,0.17,0.04,0.44,0.16,0.13,,,,,,,,,,,,,,,,,,,,,3425.57,3832.88,3675.31,3338.94,3188.9,2713.98,2697.98,2906.07,2694.82,2752.36,,,,,,,,,,
Caribbean,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,11.16,18.11,28.25,9.8,23.94,14.69,16.65,16.98,10.55,9.53,0.46,0.85,1.53,0.56,0.94,0.3,0.66,0.66,0.51,0.35,,,,,,,,,,,2450.61,2136.69,1845.78,1764.82,2553.24,4852.98,2528.04,2560.93,2051.23,2755.98
Central America,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,15.7,32.99,33,28.59,63.42,9.86,8.89,8.71,11.53,7.12,0.48,1.35,1.16,1.08,2.42,0.35,0.28,0.3,0.4,0.13,,,,,,,,,,,3298.9,2449.26,2838.13,2657.03,2618.11,2788.29,3148.13,2893.26,2864.81,5560.03
Central Asia,all,,Nutrition strategies and financing,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,2.5,1.17,2.73,5.69,2.55,1.6,2.51,3.13,0.8,2.26,0.2,0.1,0.22,0.46,0.12,0.08,0.14,0.14,0.03,0.07,,,5.14,25.94,36.16,21.24,24.76,33.69,27.47,30.19,1231.59,1211.32,1257.06,1238.74,2080.61,1888.87,1853.52,2277.52,2359.62,3172.36
Eastern Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,88.64,160.17,248.08,267.05,241.63,330.52,365.51,344.09,327.93,290.38,0.48,0.78,1.07,1.27,1.09,1.41,1.43,1.41,1.29,0.91,,,,,,,,,,,18608.35,20429.82,23185.59,21022.19,22130.47,23362.15,25630.02,24427.89,25400.2,31800.1
Eastern Asia,all,,Nutrition strategies and financing,1.55,35.35,106.52,59.72,6.18,8.36,13.14,16.01,23.59,19.08,0.01,0.28,0.53,0.41,0.04,0.05,0.07,0.1,0.14,0.1,1.92,3.46,11.7,4.66,1.99,3.41,3.22,0.7,1.02,0.75,0.07,0.13,0.53,0.26,0.09,0.16,0.13,0.03,0.05,0.03,13497.41,12692.93,20194.57,14392.05,15405.37,15538.07,17728.82,15736.46,17167.36,18812.3,2859.49,2730.08,2201.39,1768.14,2139.66,2180.35,2454.02,2067.49,1972.78,2469.08
Eastern Europe,all,,Nutrition strategies and financing,0,0,0.37,0.36,0.46,0.32,0.7,0.01,0.16,0.06,0,0,0.18,0.13,0.14,0.07,0.14,0,0.03,0.01,0.07,0.11,0.01,0.2,0.11,0.18,0.08,0,0.11,0.03,0.01,0.01,0,0.01,0.01,0.01,0,0,0.01,0,71.13,66.93,205.24,269.21,327.29,428.73,482.43,593.42,595.32,653.55,1207.6,1279.87,1188.59,1975.64,2101.31,2181.49,1739.65,1728.53,1954.56,3995.3
Europe,all,,Nutrition strategies and financing,80.32,102.72,181.21,198.61,234.4,279.87,304.43,324.5,373.71,365.6,0.16,0.21,0.37,0.37,0.38,0.39,0.44,0.48,0.55,0.5,0.21,0.2,0.07,0.23,0.17,0.27,0.17,0.1,0.22,0.39,0.01,0.01,0,0.01,0,0.01,0,0,0,0.01,49583.26,47809.39,49501.58,53282.21,61662.72,70976.37,69918.05,67261.18,68165.6,73302.26,3832.68,3738.98,3322.85,4066.85,4336.14,4519.86,5284.08,4670.13,4379.36,6526.94
Global,all,,Nutrition strategies and financing,310.4,579.19,732.24,655.56,660.69,546.1,573.04,593.71,644.06,573,0.3,0.59,0.65,0.59,0.54,0.4,0.41,0.42,0.47,0.4,334.32,535.56,753.65,798.94,783.62,787.52,885.39,810.41,794.9,656.77,0.3,0.5,0.62,0.69,0.62,0.59,0.63,0.58,0.57,0.4,104199.4,98632.62,112302.52,110339.88,122736.63,136447.01,140422.7,140368.06,135680.92,142568.69,110142.64,106274.82,121439.56,115420.95,125522.25,133616.94,141024.39,140052.03,138669.51,164496.23
Latin America and the Caribbean,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,49.41,88.84,91.22,49.52,99.69,32.44,41.42,35.36,30.34,21.82,0.41,0.8,0.82,0.45,0.78,0.24,0.35,0.29,0.27,0.14,,,,,,,,,,,12123.43,11117.54,11065.77,10965.79,12726.04,13781.54,11840.09,12296.59,11136.68,15745.49
Melanesia,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,0.12,0.08,0.22,0.32,0.27,0.26,0.15,1.76,0.5,0.48,0.01,0.01,0.02,0.04,0.02,0.02,0.01,0.14,0.04,0.03,,,,,,,,,,,925.77,999.61,1003.39,908.04,1166.92,1044.05,1044.91,1285.1,1220.77,1690.07
Micronesia,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,0.01,0.02,0.17,0.02,0.01,0,,,0.13,0.01,0,0.01,0.04,0.01,0,0,,,0.04,0,,,,,,,,,,,348.43,340.43,376.33,309.47,273.34,178.22,309.46,366.74,306.83,514.73
Middle Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,16.89,28.29,60.62,67.16,27.15,50.86,31.15,26.83,22.56,53.58,0.18,0.58,1.31,1.38,0.43,0.99,0.52,0.44,0.33,0.7,,,,,,,,,,,9247.23,4855.27,4628.51,4860.26,6324.58,5148.72,5940.89,6160.71,6745.47,7633.71
North America,all,,Nutrition strategies and financing,217.88,431.57,436.82,387.43,408.43,252.85,253.4,240.13,210.7,182.83,0.6,1.3,1.32,1.14,1.24,0.74,0.71,0.68,0.64,0.53,,,,,,,,,,,,,,,,,,,,,36520.96,33089.76,33184.06,33912.09,32842.32,34303.35,35608.23,35099.88,33137.13,34229.64,,,,,,,,,,
Northern Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,0.54,11.2,12.12,7.05,8.13,19.25,24.84,10.53,8.29,9.92,0.01,0.16,0.11,0.08,0.09,0.2,0.29,0.13,0.1,0.1,,,,,,,,,,,6696,7123.83,11205.25,9315.68,8654.08,9599.88,8422.63,7839.47,8673.06,10232.05
Northern America,all,,Nutrition strategies and financing,217.88,431.57,436.82,387.43,408.43,252.85,253.4,240.13,210.7,182.83,0.6,1.3,1.32,1.14,1.24,0.74,0.71,0.68,0.64,0.53,,,,,,,,,,,,,,,,,,,,,36520.96,33089.76,33184.06,33912.09,32842.32,34303.35,35608.23,35099.88,33137.13,34229.64,,,,,,,,,,
Northern Europe,all,,Nutrition strategies and financing,51.49,76.99,117.99,108.56,122.96,184.83,235.64,194.03,205.53,152.61,0.3,0.44,0.59,0.53,0.54,0.82,1.05,0.86,0.85,0.69,,,,,,,,,,,,,,,,,,,,,17268.63,17314.64,19965.01,20462.27,22770.58,22514.94,22385.88,22493.63,24246.1,22118.84,,,,,,,,,,
Oceania,all,,Nutrition strategies and financing,10.64,9.55,7.69,8.2,6.26,4.59,0.98,12.74,4.32,3.44,0.31,0.25,0.21,0.25,0.2,0.17,0.04,0.44,0.16,0.13,0.39,0.77,0.59,0.9,0.73,3.44,1.56,3.11,1.86,1.64,0.02,0.04,0.03,0.05,0.03,0.19,0.07,0.13,0.08,0.05,3425.57,3832.88,3675.31,3338.94,3188.9,2713.98,2697.98,2906.07,2694.82,2752.36,1956.62,1943.35,1990.08,1785.89,2095.6,1832.27,2180.22,2404.76,2374.13,3196.63
Polynesia,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,0.05,0.03,0.2,0.12,0.15,2.96,0.67,1.35,1.02,1.02,0.01,0.01,0.05,0.03,0.04,0.82,0.16,0.34,0.21,0.19,,,,,,,,,,,384.81,373.77,362.3,349.36,412.07,361.11,415.78,399.55,477,547.34
South-eastern Asia,all,,Nutrition strategies and financing,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,22.82,31.01,24.71,44.49,49.57,53.6,52.93,26.15,43.87,39.43,0.24,0.32,0.14,0.35,0.44,0.48,0.47,0.23,0.42,0.28,,,,3.16,79.48,74.65,63.52,62.34,75.41,54.73,9329.05,9673.55,17615.02,12698.45,11257.34,11267.9,11213.2,11440.13,10354.25,13861.53
South America,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,17.91,34.02,27.32,8.67,8.93,4.25,4.81,4.17,5.1,4.1,0.38,0.7,0.64,0.18,0.16,0.09,0.1,0.07,0.1,0.07,,,,,,,,,,,4674.99,4881.69,4276.95,4702.98,5641.05,4921.62,5006.64,5616.33,5001.55,6181.64
Southern Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,1.29,0.64,0.46,0.26,0.58,4.99,1.67,0.99,0.88,0.65,0.06,0.03,0.02,0.01,0.03,0.24,0.09,0.06,0.05,0.03,,,,,,,,,,,2339.96,2131.7,2368.13,1944.6,2198.45,2075.49,1912.58,1801.02,1669.85,2099.66
Southern Asia,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,71.11,86.77,122.21,111.8,146.33,156.06,203.63,157.42,204.62,127.99,0.36,0.49,0.69,0.57,0.69,0.78,0.93,0.77,0.91,0.55,,,,,,,,,,,19984.78,17655.41,17738.72,19461.47,21185.88,19988.08,21935.65,20357.2,22439.36,23309.58
Southern Europe,all,,Nutrition strategies and financing,11.85,5.95,3.27,6.64,9.23,12.1,12.59,16.02,16.47,13.86,0.25,0.26,0.14,0.28,0.29,0.2,0.26,0.45,0.54,0.49,0.14,0.08,0.06,0.03,0.06,0.09,0.09,0.1,0.1,0.36,0.01,0,0,0,0,0,0,0,0,0.01,4649.41,2248.26,2353.75,2336.61,3193.33,6161.21,4805.22,3591.19,3037.61,2851.97,2625.07,2459.11,2134.26,2091.21,2234.83,2338.37,3544.42,2941.6,2424.81,2531.64
Western Africa,all,,Nutrition strategies and financing,,,,,,,,,,,,,,,,,,,,,80.46,121.5,133.91,188.5,154.31,136.91,114.23,187.36,109.52,96.52,0.62,0.83,0.97,1.43,1.03,0.97,0.73,1.2,0.66,0.45,,,,,,,,,,,12874.05,14702.37,13743.96,13156.93,14913.26,14094.53,15694.71,15571.68,16674.42,21353.77
Western Asia,all,,Nutrition strategies and financing,0,0,0,1.6,5.41,0.43,1.09,0.32,31.74,2.04,0,0,0,0.03,0.06,0,0.01,0,0.22,0.02,3.02,5.96,48.1,54.6,54.54,1.01,56.85,20.82,52.32,13.77,0.03,0.05,0.34,0.34,0.29,0,0.2,0.07,0.19,0.05,1172.21,1207.66,5741.86,5385.49,9521.68,12819.35,14381.34,19268.45,14413.14,13387.23,11770.1,11803.68,14213.45,15902.3,18495.57,26271.24,29149.02,31266.83,27053.96,26740.36
Western Europe,all,,Nutrition strategies and financing,16.97,19.77,59.59,83.05,101.75,82.62,55.51,114.44,151.56,199.07,0.06,0.07,0.22,0.27,0.29,0.2,0.13,0.28,0.38,0.42,,,,,,,,,,,,,,,,,,,,,27594.08,28179.55,26977.58,30214.13,35371.51,41871.49,42244.52,40582.95,40286.58,47677.89,,,,,,,,,,