region,disaggregation,disagg.value,section,environmental_impacts_beef_lamb_2018,environmental_impacts_eggs_2018,environmental_impacts_fish_2018,environmental_impacts_fruit_veg_2018,environmental_impacts_grains_2018,environmental_impacts_legumes_2018,environmental_impacts_milk_2018,environmental_impacts_nuts_seeds_2018,environmental_impacts_oils_2018,environmental_impacts_pork_poultry_2018,environmental_impacts_roots_2018,environmental_impacts_sugar_2018,impacts_total_2018,planetary_impacts_Cropland_2010,planetary_impacts_Cropland_2018,planetary_impacts_Freshwater_2010,planetary_impacts_Freshwater_2018,planetary_impacts_Greenhouse gases_2010,planetary_impacts_Greenhouse gases_2018,planetary_impacts_Nitrogen_2010,planetary_impacts_Nitrogen_2018,planetary_impacts_Phosphorus_2010,planetary_impacts_Phosphorus_2018
Middle Africa,food_group,oils,Environmental impacts,,,,,,,,,,,,,,6.02,6.02,1.53,1.44,2.1,2.49,4.29,4.55,5.07,5.14
Middle Africa,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,8.96,9.13,2.76,2.84,6.29,6.31,8.4,8.57,6.76,6.9
Middle Africa,food_group,roots,Environmental impacts,,,,,,,,,,,,,,10.86,10.56,9.87,9.59,3.04,2.95,12.22,11.88,12.43,12.09
Middle Africa,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,2.09,2.47,10.69,12.63,0.5,0.59,5.51,6.51,4.28,5.06
Middle Africa,food_group,total,Environmental impacts,,,,,,,,,,,,,,106.48,109.16,86.83,94.64,168.32,151.67,111.1,117.15,91.25,94.53
North America,emission_type,Freshwater use,Environmental impacts,3.38,2.4,0.13,11.94,7.6,1.96,5.98,2.12,2.96,30.84,2.75,12.97,85.01,,,,,,,,,,
North America,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,484.07,26.19,43.27,65.2,76.36,4.83,239.4,2.78,33.85,269.25,26.04,22.7,1293.93,,,,,,,,,,
North America,emission_type,Land use,Environmental impacts,3883.46,51.81,2.65,50.85,213.02,27.35,231.84,22.97,129.66,1597.8,21.03,19.57,6252.01,,,,,,,,,,
North America,emission_type,Nitrogen application,Environmental impacts,694.7,652.03,13.55,363.83,1612.01,1.14,617.99,151.85,321.33,1072.32,110.46,417.26,6028.47,,,,,,,,,,
North America,emission_type,Phosphorus application,Environmental impacts,112.86,99.9,2.86,61.51,252.56,2.14,131.67,19.99,69.28,156.33,33.68,90.44,1033.21,,,,,,,,,,
North America,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,14.61,14.01,4.87,4.68,477.92,456.85,13.2,12.65,11.97,11.47
North America,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,11.64,13.51,4.58,5.31,4.59,5.33,10.73,12.46,8.3,9.64
North America,food_group,fish,Environmental impacts,,,,,,,,,,,,,,1.2,1.29,0.63,0.67,0.18,0.2,1.5,1.62,1.66,1.79
North America,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,19.74,17.68,32.29,28.2,4.28,3.85,34.83,31.17,27.1,24.32
North America,food_group,grains,Environmental impacts,,,,,,,,,,,,,,32.22,32.15,30.7,30.51,4.47,4.45,52.21,51.82,39.39,39.12
North America,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,4.4,4.31,2.69,2.62,0.35,0.34,0.01,0.03,0.07,0.13
North America,food_group,milk,Environmental impacts,,,,,,,,,,,,,,42.52,37.51,13.2,11.65,97.89,86.37,31.24,27.56,34.2,30.17
North America,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,5.88,6.19,3.14,3.31,1.09,1.14,2.76,2.9,2.24,2.35
North America,food_group,oils,Environmental impacts,,,,,,,,,,,,,,33.39,24.09,10,7.22,5.22,3.73,19.43,13.99,26.82,19.34
North America,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,62.8,67.11,19.11,20.72,45.2,46.92,58.68,62.9,47.21,50.66
North America,food_group,roots,Environmental impacts,,,,,,,,,,,,,,3.37,3.36,3.06,3.05,0.94,0.94,3.79,3.78,3.86,3.84
North America,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,9.98,11.3,51.14,57.88,2.37,2.69,26.35,29.83,20.48,23.18
North America,food_group,total,Environmental impacts,,,,,,,,,,,,,,244.2,236.32,180.89,184.38,646.42,615.77,259.11,257.56,226.07,220.34
Northern Africa,emission_type,Freshwater use,Environmental impacts,2.21,1.32,0.54,32.73,38.53,2.94,2.98,4,2.59,5.82,4.46,15.67,113.79,,,,,,,,,,
Northern Africa,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,92.2,6.33,34.18,103.26,134.23,2.41,30.57,0.69,13.88,27.67,5.72,20.59,471.72,,,,,,,,,,
Northern Africa,emission_type,Land use,Environmental impacts,637.24,8.52,12.45,62.82,215.79,18.88,1165.31,4.17,41.03,232.4,11.43,15.47,2425.52,,,,,,,,,,
Northern Africa,emission_type,Nitrogen application,Environmental impacts,146.64,92.74,37.97,541.16,1417.96,0.04,167.88,11.91,95.11,19,72.57,234.64,2837.63,,,,,,,,,,
Northern Africa,emission_type,Phosphorus application,Environmental impacts,17.37,10.8,6.5,72.02,160.68,0.14,25.62,1.61,26.62,187.51,10.28,30.4,549.55,,,,,,,,,,
Northern Africa,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,9.16,8.38,3.47,3.13,212.99,204.19,7.99,7.34,7,6.46
Northern Africa,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,2.77,3.69,1.09,1.45,1.09,1.45,2.55,3.4,1.97,2.63
Northern Africa,food_group,fish,Environmental impacts,,,,,,,,,,,,,,0.83,0.85,0.39,0.39,0.12,0.12,1.12,1.15,1.18,1.21
Northern Africa,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,19.36,19.48,29.92,30.88,4.52,4.42,35.27,35.06,27.91,27.56
Northern Africa,food_group,grains,Environmental impacts,,,,,,,,,,,,,,67.84,71.48,54.08,57.03,8.5,8.94,95.78,100.35,72.72,76.23
Northern Africa,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,7.48,6.25,4.54,3.83,0.59,0.49,0.05,0.01,0.23,0.04
Northern Africa,food_group,milk,Environmental impacts,,,,,,,,,,,,,,18.29,10.14,5.68,3.15,42.11,23.34,13.44,7.45,14.71,8.15
Northern Africa,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,2.26,2.52,1.21,1.35,0.42,0.46,1.06,1.18,0.86,0.96
Northern Africa,food_group,oils,Environmental impacts,,,,,,,,,,,,,,8.86,10.86,2.63,3.23,1.49,1.8,5.22,6.39,7.14,8.74
Northern Africa,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,7.46,9.31,2.75,3.44,3.14,3.92,7.27,9.08,5.93,7.41
Northern Africa,food_group,roots,Environmental impacts,,,,,,,,,,,,,,2.06,2.11,1.87,1.91,0.58,0.59,2.32,2.37,2.36,2.41
Northern Africa,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,5.38,5.34,27.56,27.34,1.28,1.27,14.2,14.09,11.04,10.95
Northern Africa,food_group,total,Environmental impacts,,,,,,,,,,,,,,157.02,157.15,147.06,152.29,280.96,256.3,195.77,200,159.06,160.44
Northern America,emission_type,Freshwater use,Environmental impacts,3.38,2.4,0.13,11.94,7.6,1.96,5.98,2.12,2.96,30.84,2.75,12.97,85.01,,,,,,,,,,
Northern America,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,484.07,26.19,43.27,65.2,76.36,4.83,239.4,2.78,33.85,269.25,26.04,22.7,1293.93,,,,,,,,,,
Northern America,emission_type,Land use,Environmental impacts,3883.46,51.81,2.65,50.85,213.02,27.35,231.84,22.97,129.66,1597.8,21.03,19.57,6252.01,,,,,,,,,,
Northern America,emission_type,Nitrogen application,Environmental impacts,694.7,652.03,13.55,363.83,1612.01,1.14,617.99,151.85,321.33,1072.32,110.46,417.26,6028.47,,,,,,,,,,
Northern America,emission_type,Phosphorus application,Environmental impacts,112.86,99.9,2.86,61.51,252.56,2.14,131.67,19.99,69.28,156.33,33.68,90.44,1033.21,,,,,,,,,,
Northern America,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,14.61,14.01,4.87,4.68,477.92,456.85,13.2,12.65,11.97,11.47
Northern America,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,11.64,13.51,4.58,5.31,4.59,5.33,10.73,12.46,8.3,9.64
Northern America,food_group,fish,Environmental impacts,,,,,,,,,,,,,,1.2,1.29,0.63,0.67,0.18,0.2,1.5,1.62,1.66,1.79
Northern America,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,19.74,17.68,32.29,28.2,4.28,3.85,34.83,31.17,27.1,24.32
Northern America,food_group,grains,Environmental impacts,,,,,,,,,,,,,,32.22,32.15,30.7,30.51,4.47,4.45,52.21,51.82,39.39,39.12
Northern America,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,4.4,4.31,2.69,2.62,0.35,0.34,0.01,0.03,0.07,0.13
Northern America,food_group,milk,Environmental impacts,,,,,,,,,,,,,,42.52,37.51,13.2,11.65,97.89,86.37,31.24,27.56,34.2,30.17
Northern America,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,5.88,6.19,3.14,3.31,1.09,1.14,2.76,2.9,2.24,2.35
Northern America,food_group,oils,Environmental impacts,,,,,,,,,,,,,,33.39,24.09,10,7.22,5.22,3.73,19.43,13.99,26.82,19.34
Northern America,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,62.8,67.11,19.11,20.72,45.2,46.92,58.68,62.9,47.21,50.66
Northern America,food_group,roots,Environmental impacts,,,,,,,,,,,,,,3.37,3.36,3.06,3.05,0.94,0.94,3.79,3.78,3.86,3.84
Northern America,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,9.98,11.3,51.14,57.88,2.37,2.69,26.35,29.83,20.48,23.18
Northern America,food_group,total,Environmental impacts,,,,,,,,,,,,,,244.2,236.32,180.89,184.38,646.42,615.77,259.11,257.56,226.07,220.34
Northern Europe,emission_type,Freshwater use,Environmental impacts,0.18,0.12,0.07,2.51,4.43,0.29,0.53,0.28,0.39,5.76,0.28,1.46,16.29,,,,,,,,,,
Northern Europe,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,84.82,6.51,8.9,14.33,28.51,0.49,61.56,0.71,6.95,49.45,3.73,6.49,272.46,,,,,,,,,,
Northern Europe,emission_type,Land use,Environmental impacts,287.34,8.78,1.49,12.36,54.71,2.67,112.54,3.01,16.92,159.14,8.28,5.13,672.35,,,,,,,,,,
Northern Europe,emission_type,Nitrogen application,Environmental impacts,88.42,89.4,8.83,125.02,317.17,0.05,169.49,6.56,60.94,190.04,24.43,48.99,1129.35,,,,,,,,,,
Northern Europe,emission_type,Phosphorus application,Environmental impacts,12.11,9.65,1.85,20.72,27.61,0.18,34.29,0.84,11.04,24.51,4.93,8.77,156.51,,,,,,,,,,
Northern Europe,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,10.73,9.65,3.8,3.41,306.01,275.81,9.55,8.59,8.53,7.68
Northern Europe,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,9.43,9.79,3.71,3.85,3.72,3.86,8.69,9.02,6.73,6.98
Northern Europe,food_group,fish,Environmental impacts,,,,,,,,,,,,,,1,1.05,0.5,0.52,0.15,0.16,1.29,1.37,1.39,1.47
Northern Europe,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,19.29,13.66,32.61,22.23,3.93,2.93,33.13,23.97,25.46,18.64
Northern Europe,food_group,grains,Environmental impacts,,,,,,,,,,,,,,37.94,39.23,35.43,36.93,5.12,5.33,58.06,60.61,44.01,45.91
Northern Europe,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,2.72,2.81,1.66,1.69,0.21,0.22,0.01,0.03,0.05,0.14
Northern Europe,food_group,milk,Environmental impacts,,,,,,,,,,,,,,45.41,37.39,14.1,11.61,104.54,86.08,33.36,27.47,36.52,30.07
Northern Europe,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,3.4,2.56,1.82,1.37,0.63,0.47,1.6,1.2,1.29,0.97
Northern Europe,food_group,oils,Environmental impacts,,,,,,,,,,,,,,17.93,13.02,5.25,3.91,3.33,1.98,10.78,7.54,14.5,10.44
Northern Europe,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,45.34,44.65,12.42,12.42,38.99,37.55,41.5,40.99,33.15,32.78
Northern Europe,food_group,roots,Environmental impacts,,,,,,,,,,,,,,5.1,4.05,4.63,3.68,1.42,1.13,5.74,4.56,5.83,4.64
Northern Europe,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,6.39,7.5,32.71,38.44,1.52,1.78,16.86,19.81,13.1,15.39
Northern Europe,food_group,total,Environmental impacts,,,,,,,,,,,,,,206.73,187.38,153.25,144.59,471.2,418.89,224.25,208.78,192.92,177.42
Oceania,emission_type,Freshwater use,Environmental impacts,0.48,0.66,0.02,2.49,0.65,0.08,0.65,0.26,0.26,3.17,0.1,1.18,10.02,,,,,,,,,,
Oceania,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,186.95,1.72,5.23,6.14,4.06,0.35,42.22,0.28,5.4,64.05,1.18,1.66,319.24,,,,,,,,,,
Oceania,emission_type,Land use,Environmental impacts,2040.49,2.31,0.85,5.47,28.18,3.47,494.69,1.78,17.65,151.15,2.34,3.16,2751.53,,,,,,,,,,
Oceania,emission_type,Nitrogen application,Environmental impacts,26.73,41.51,5.64,74.18,93.16,0.07,36.63,52.22,100.98,109.11,12.89,31.49,584.61,,,,,,,,,,
Oceania,emission_type,Phosphorus application,Environmental impacts,8.69,14.48,1.48,18.38,27.78,0.23,11.52,11.54,22.64,36.33,2.57,4.82,160.48,,,,,,,,,,
Oceania,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,17.62,20.07,6.39,7.62,469.17,465.24,15.56,17.5,13.82,15.34
Oceania,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,4.41,5.73,1.73,2.25,1.74,2.26,4.06,5.28,3.14,4.09
Oceania,food_group,fish,Environmental impacts,,,,,,,,,,,,,,0.78,0.94,0.41,0.48,0.12,0.14,0.97,1.19,1.07,1.31
Oceania,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,14.41,17.88,23.33,30.08,2.95,3.63,24.76,30.66,19.14,23.57
Oceania,food_group,grains,Environmental impacts,,,,,,,,,,,,,,19.61,23.45,20.38,23.98,2.84,3.36,33.33,39.18,25.13,29.56
Oceania,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,1.65,1.75,0.99,0.97,0.13,0.13,0.02,0.08,0.1,0.38
Oceania,food_group,milk,Environmental impacts,,,,,,,,,,,,,,28.48,27.54,8.84,8.55,65.56,63.41,20.92,20.24,22.9,22.15
Oceania,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,8.15,11.52,4.35,6.16,1.5,2.12,3.82,5.4,3.1,4.38
Oceania,food_group,oils,Environmental impacts,,,,,,,,,,,,,,15.18,18.1,4.24,5.1,3.68,4.21,9.71,11.47,12.45,14.81
Oceania,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,39.2,48.23,11.78,14.32,28.91,36.38,36.53,44.84,29.37,36.02
Oceania,food_group,roots,Environmental impacts,,,,,,,,,,,,,,3.03,5.05,2.75,4.59,0.85,1.41,3.41,5.68,3.47,5.78
Oceania,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,6.19,8.26,31.72,42.32,1.47,1.97,16.35,21.81,12.7,16.95
Oceania,food_group,total,Environmental impacts,,,,,,,,,,,,,,162.37,195.02,125.19,160.99,581.81,589.35,176.05,214.98,150.57,181.72
Polynesia,emission_type,Freshwater use,Environmental impacts,0,0,0,0,0,0,0,0.01,0,0.01,0,0,0.03,,,,,,,,,,
Polynesia,emission_type,Nitrogen application,Environmental impacts,0.03,0,0.01,0.26,0.2,0,0.02,1.78,0.06,0.14,0.02,0.08,2.6,,,,,,,,,,
Polynesia,emission_type,Phosphorus application,Environmental impacts,0.01,0,0,0.04,0.03,0,0.01,0.25,0.01,2.86,0,0.01,3.23,,,,,,,,,,
Polynesia,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,9.05,6.08,3.43,2.21,209.96,160.37,7.89,5.37,6.91,4.76
Polynesia,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,4.47,1.12,1.76,0.44,1.76,0.44,4.12,1.03,3.19,0.8
Polynesia,food_group,fish,Environmental impacts,,,,,,,,,,,,,,0.63,0.64,0.35,0.35,0.1,0.1,0.75,0.78,0.86,0.88
Polynesia,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,22.89,21.04,44.36,40.1,3.87,3.6,36.66,33.82,26.94,24.95
Polynesia,food_group,grains,Environmental impacts,,,,,,,,,,,,,,16.64,17.12,18.19,18.22,2.47,2.51,29,29.37,21.86,22.15
Polynesia,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,0.2,0.88,0.06,0.26,0.01,0.06,0.05,0.21,0.24,1.01
Polynesia,food_group,milk,Environmental impacts,,,,,,,,,,,,,,5.87,4.54,1.82,1.41,13.51,10.46,4.31,3.34,4.72,3.65
Polynesia,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,117.49,114.39,62.79,61.13,21.67,21.09,55.09,53.64,44.69,43.51
Polynesia,food_group,oils,Environmental impacts,,,,,,,,,,,,,,2.32,4.95,0.14,1.15,2.7,2.19,2.93,3.84,2.32,4.26
Polynesia,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,58.83,67.52,18.62,22.03,39.02,41.75,55.43,64.03,44.71,51.77
Polynesia,food_group,roots,Environmental impacts,,,,,,,,,,,,,,8.08,8.01,7.35,7.28,2.26,2.24,9.1,9.01,9.25,9.17
Polynesia,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,4.87,5.75,24.95,29.48,1.16,1.37,12.86,15.19,9.99,11.8
Polynesia,food_group,total,Environmental impacts,,,,,,,,,,,,,,255.24,256.85,192.61,194.85,301.56,249.94,225.2,228.26,180.12,184.16
South-eastern Asia,emission_type,Freshwater use,Environmental impacts,1.08,2.83,1.34,8.82,7.09,1.01,0.83,10.61,2.86,24.11,0.96,42.37,103.91,,,,,,,,,,
South-eastern Asia,emission_type,Greenhouse gas emissions (life-cycle),Environmental impacts,238.57,24.4,98.16,63.34,45.63,6.64,15.38,31.64,52.93,165.22,23.24,32.57,797.72,,,,,,,,,,
South-eastern Asia,emission_type,Land use,Environmental impacts,571.29,37.09,11.37,62.34,98,28.39,166.79,80.08,66.72,549.42,23.82,36.83,1732.13,,,,,,,,,,
South-eastern Asia,emission_type,Nitrogen application,Environmental impacts,68.22,249.02,140.01,1041.56,944.24,35.47,57.94,45.42,183.81,391.61,80.02,504.64,3741.95,,,,,,,,,,
South-eastern Asia,emission_type,Phosphorus application,Environmental impacts,17.12,42.67,31.57,152.12,115.12,23.06,12.49,8.23,37.24,86.46,7.74,87.96,621.77,,,,,,,,,,
South-eastern Asia,food_group,beef_lamb,Environmental impacts,,,,,,,,,,,,,,2.1,2.48,0.73,0.85,63.09,76.87,1.88,2.23,1.69,2.01
South-eastern Asia,food_group,eggs,Environmental impacts,,,,,,,,,,,,,,4.67,5.9,1.84,2.32,1.84,2.33,4.31,5.44,3.33,4.21
South-eastern Asia,food_group,fish,Environmental impacts,,,,,,,,,,,,,,1.94,2.7,0.93,1.29,0.28,0.39,2.58,3.6,2.75,3.83
South-eastern Asia,food_group,fruit_veg,Environmental impacts,,,,,,,,,,,,,,11.85,12.62,20.23,21.02,2.47,2.83,20.56,22.48,15.82,17.42
South-eastern Asia,food_group,grains,Environmental impacts,,,,,,,,,,,,,,12.54,14.7,10.44,13.05,1.7,2.04,21.22,25.04,15.88,18.77
South-eastern Asia,food_group,legumes,Environmental impacts,,,,,,,,,,,,,,3.35,3.46,1.85,1.76,0.25,0.26,0.16,0.28,0.76,1.33
South-eastern Asia,food_group,milk,Environmental impacts,,,,,,,,,,,,,,2.91,1.11,0.9,0.34,6.7,2.55,2.14,0.81,2.34,0.89
South-eastern Asia,food_group,nuts_seeds,Environmental impacts,,,,,,,,,,,,,,9.99,11.11,5.34,5.94,1.84,2.05,4.68,5.21,3.8,4.23
South-eastern Asia,food_group,oils,Environmental impacts,,,,,,,,,,,,,,4.15,5.64,0.84,1.19,2.38,3,3.58,4.71,3.67,4.94
South-eastern Asia,food_group,pork_poultry,Environmental impacts,,,,,,,,,,,,,,20.56,23.11,5.56,6.38,18.01,19.65,18.78,21.18,14.99,16.93
South-eastern Asia,food_group,roots,Environmental impacts,,,,,,,,,,,,,,2.2,2.15,2,1.96,0.61,0.6,2.47,2.42,2.52,2.47
South-eastern Asia,food_group,sugar,Environmental impacts,,,,,,,,,,,,,,3.51,4.21,17.99,21.58,0.84,1,9.27,11.12,7.21,8.64
