region,disaggregation,disagg.value,section,adult_fem_diabetes_track_Off course_2021,adult_fem_diabetes_track_On course_2021,adult_fem_obesity_track_Off course_2021,adult_mal_diabetes_track_Off course_2021,adult_mal_diabetes_track_On course_2021,adult_mal_obesity_track_Off course_2021,anaemia_track_No data_2021,anaemia_track_No progress or worsening_2021,anaemia_track_On course_2021,anaemia_track_Some progress_2021,ebf_track_No data_2021,ebf_track_No progress or worsening_2021,ebf_track_On course_2021,ebf_track_Some progress_2021,lbw_track_No data_2021,lbw_track_No progress or worsening_2021,lbw_track_On course_2021,lbw_track_Some progress_2021,rbp_female_track_No data_2021,rbp_female_track_Off course_2021,rbp_female_track_On course_2021,rbp_male_track_No data_2021,rbp_male_track_Off course_2021,rbp_male_track_On course_2021,sodium_track_No data_2021,sodium_track_Off course_2021,under_5_overweight_track_No data_2021,under_5_overweight_track_Off course_2021,under_5_overweight_track_On course_2021,under_5_stunting_track_No data_2021,under_5_stunting_track_No progress or worsening_2021,under_5_stunting_track_On course_2021,under_5_stunting_track_Some progress_2021,under_5_wasting_track_No data_2021,under_5_wasting_track_No progress or worsening_2021,under_5_wasting_track_On course_2021,under_5_wasting_track_Some progress_2021
Africa,all,,The burden of malnutrition at a glance,53,,53,53,,53,,37,,17,14,7,20,13,18,12,,24,1,53,,1,53,,1,53,1,25,28,,10,6,38,13,10,19,12
Asia,all,,The burden of malnutrition at a glance,45,3,48,48,,48,1,44,,3,17,12,10,9,11,17,3,17,,34,14,,44,4,1,47,4,15,29,4,5,21,18,15,11,14,8
Australia and New Zealand,all,,The burden of malnutrition at a glance,1,1,2,1,1,2,,2,,,2,,,,,1,,1,,,2,,,2,,2,1,1,,1,,1,,2,,,
Caribbean,all,,The burden of malnutrition at a glance,13,,13,13,,13,,11,,2,10,3,,,7,6,,,,12,1,,13,,1,12,6,1,6,6,3,2,2,10,,3,
Central America,all,,The burden of malnutrition at a glance,8,,8,8,,8,,5,1,2,3,1,2,2,,7,,1,,8,,,8,,,8,,1,7,,1,1,6,3,,5,
Central Asia,all,,The burden of malnutrition at a glance,5,,5,5,,5,,4,,1,1,2,,2,,1,2,2,,5,,,5,,,5,,,5,,,5,,,,4,1
Eastern Africa,all,,The burden of malnutrition at a glance,17,,17,17,,17,,15,,3,6,3,5,4,6,3,,9,1,17,,1,17,,1,17,,3,15,,4,2,12,7,,9,2
Eastern Asia,all,,The burden of malnutrition at a glance,4,1,5,5,,5,,5,,,2,2,1,,1,3,,1,,3,2,,4,1,1,4,,4,1,,,5,,2,,3,
Eastern Europe,all,,The burden of malnutrition at a glance,10,,10,10,,10,1,9,,,9,1,,,,8,,2,,8,2,,10,,,10,3,1,6,3,,5,2,10,,,
Europe,all,,The burden of malnutrition at a glance,25,15,40,34,6,40,2,41,,,38,4,,1,1,25,12,5,3,19,21,3,25,15,4,39,25,3,15,25,2,13,3,39,,4,
Global,all,,The burden of malnutrition at a glance,171,19,190,182,8,190,3,161,1,29,98,33,35,28,48,82,15,49,4,145,45,4,167,23,10,184,39,50,105,39,28,53,74,94,23,57,20
Latin America and the Caribbean,all,,The burden of malnutrition at a glance,33,,33,33,,33,,23,1,9,19,8,2,4,7,24,,2,,26,7,,32,1,1,32,6,4,23,6,7,9,11,15,2,16,
Melanesia,all,,The burden of malnutrition at a glance,4,,4,4,,4,,4,,,2,,2,,3,1,,,,4,,,4,,,4,,1,3,,2,,2,3,,1,
Micronesia,all,,The burden of malnutrition at a glance,5,,5,4,1,5,,5,,,4,1,,,5,,,,,5,,,5,,2,3,2,1,2,2,,1,2,5,,,
Middle Africa,all,,The burden of malnutrition at a glance,9,,9,9,,9,,4,,5,3,,4,2,2,2,,5,,9,,,9,,,9,,5,4,,2,1,6,2,1,3,3
North America,all,,The burden of malnutrition at a glance,2,,2,2,,2,,2,,,1,,,1,,2,,,,1,1,,1,1,,2,,,2,1,,1,,1,,1,
Northern Africa,all,,The burden of malnutrition at a glance,6,,6,6,,6,,5,,1,1,2,1,2,3,3,,,,6,,,6,,,6,,2,4,,2,,4,1,2,3,
Northern America,all,,The burden of malnutrition at a glance,2,,2,2,,2,,2,,,1,,,1,,2,,,,1,1,,1,1,,2,,,2,1,,1,,1,,1,
Northern Europe,all,,The burden of malnutrition at a glance,5,5,10,5,5,10,,10,,,10,,,,,3,7,,,3,7,,4,6,,10,9,,1,9,,1,,10,,,
Oceania,all,,The burden of malnutrition at a glance,13,1,14,12,2,14,,14,,,9,2,3,,11,2,,1,,12,2,,12,2,3,11,3,3,8,3,4,3,4,11,,3,
Polynesia,all,,The burden of malnutrition at a glance,3,,3,3,,3,,3,,,1,1,1,,3,,,,,3,,,3,,1,2,,,3,,2,1,,1,,2,
South-eastern Asia,all,,The burden of malnutrition at a glance,9,2,11,11,,11,,10,,1,3,2,3,3,1,3,1,6,,10,1,,10,1,,11,,5,6,,1,3,7,2,5,,4
South America,all,,The burden of malnutrition at a glance,12,,12,12,,12,,7,,5,6,4,,2,,11,,1,,6,6,,11,1,,12,,2,10,,3,6,3,2,2,8,
Southern Africa,all,,The burden of malnutrition at a glance,5,,5,5,,5,,5,,,3,,1,1,,3,,2,,5,,,5,,,5,,1,4,,1,1,3,2,,3,
Southern Asia,all,,The burden of malnutrition at a glance,9,,9,9,,9,,9,,,1,1,5,2,4,,,5,,8,1,,9,,,9,,2,7,,1,3,5,2,4,,3
Southern Europe,all,,The burden of malnutrition at a glance,9,4,13,13,,13,,14,,,10,3,,1,,9,5,,1,7,6,1,9,4,2,12,7,,7,7,2,4,1,10,,4,
Western Africa,all,,The burden of malnutrition at a glance,16,,16,16,,16,,8,,8,1,2,9,4,7,1,,8,,16,,,16,,,16,1,14,1,,1,2,13,1,7,1,7
Western Asia,all,,The burden of malnutrition at a glance,18,,18,18,,18,1,16,,1,10,5,1,2,5,10,,3,,8,10,,16,2,,18,4,4,10,4,3,5,6,9,2,7,
Western Europe,all,,The burden of malnutrition at a glance,1,6,7,6,1,7,1,8,,,9,,,,1,5,,3,2,1,6,2,2,5,2,7,6,2,1,6,,3,,9,,,